time,SplyExpFut10yr
2011-02-20,18406200.0
2011-02-21,18407412.5
2011-02-22,18408731.25
2011-02-23,18410250.0
2011-02-24,18411543.75
2011-02-25,18412950.0
2011-02-26,18414675.0
2011-02-27,18416200.0
2011-02-28,18417137.5
2011-03-01,18417950.0
2011-03-02,18419000.0
2011-03-03,18420162.5
2011-03-04,18421543.75
2011-03-05,18423275.0
2011-03-06,18424987.5
2011-03-07,18426306.25
2011-03-08,18427475.0
2011-03-09,18428475.0
2011-03-10,18429162.5
2011-03-11,18429975.0
2011-03-12,18430850.0
2011-03-13,18431581.25
2011-03-14,18432281.25
2011-03-15,18432981.25
2011-03-16,18433831.25
2011-03-17,18434712.5
2011-03-18,18435462.5
2011-03-19,18436181.25
2011-03-20,18437037.5
2011-03-21,18437962.5
2011-03-22,18438706.25
2011-03-23,18439687.5
2011-03-24,18440637.5
2011-03-25,18441718.75
2011-03-26,18442581.25
2011-03-27,18443475.0
2011-03-28,18444525.0
2011-03-29,18445543.75
2011-03-30,18446518.75
2011-03-31,18447775.0
2011-04-01,18448875.0
2011-04-02,18450000.0
2011-04-03,18451093.75
2011-04-04,18452206.25
2011-04-05,18453418.75
2011-04-06,18454343.75
2011-04-07,18455262.5
2011-04-08,18456300.0
2011-04-09,18457275.0
2011-04-10,18458356.25
2011-04-11,18459375.0
2011-04-12,18460393.75
2011-04-13,18461606.25
2011-04-14,18462606.25
2011-04-15,18463456.25
2011-04-16,18464537.5
2011-04-17,18465662.5
2011-04-18,18466587.5
2011-04-19,18467550.0
2011-04-20,18468450.0
2011-04-21,18469368.75
2011-04-22,18470468.75
2011-04-23,18471543.75
2011-04-24,18472556.25
2011-04-25,18473756.25
2011-04-26,18474975.0
2011-04-27,18476118.75
2011-04-28,18477143.75
2011-04-29,18478393.75
2011-04-30,18479575.0
2011-05-01,18480693.75
2011-05-02,18481925.0
2011-05-03,18483150.0
2011-05-04,18484381.25
2011-05-05,18485750.0
2011-05-06,18487112.5
2011-05-07,18488450.0
2011-05-08,18489818.75
2011-05-09,18491312.5
2011-05-10,18492456.25
2011-05-11,18493650.0
2011-05-12,18494706.25
2011-05-13,18496000.0
2011-05-14,18497512.5
2011-05-15,18498887.5
2011-05-16,18500431.25
2011-05-17,18502037.5
2011-05-18,18503837.5
2011-05-19,18504906.25
2011-05-20,18506281.25
2011-05-21,18507656.25
2011-05-22,18509231.25
2011-05-23,18511018.75
2011-05-24,18512887.5
2011-05-25,18514806.25
2011-05-26,18516656.25
2011-05-27,18517700.0
2011-05-28,18518668.75
2011-05-29,18519793.75
2011-05-30,18520756.25
2011-05-31,18521693.75
2011-06-01,18522868.75
2011-06-02,18524056.25
2011-06-03,18525318.75
2011-06-04,18526718.75
2011-06-05,18528018.75
2011-06-06,18529475.0
2011-06-07,18530537.5
2011-06-08,18531693.75
2011-06-09,18533081.25
2011-06-10,18534475.0
2011-06-11,18536050.0
2011-06-12,18537506.25
2011-06-13,18538925.0
2011-06-14,18540468.75
2011-06-15,18542212.5
2011-06-16,18543337.5
2011-06-17,18544500.0
2011-06-18,18545731.25
2011-06-19,18547125.0
2011-06-20,18548587.5
2011-06-21,18550168.75
2011-06-22,18551793.75
2011-06-23,18553293.75
2011-06-24,18554643.75
2011-06-25,18555537.5
2011-06-26,18556468.75
2011-06-27,18557525.0
2011-06-28,18558525.0
2011-06-29,18559600.0
2011-06-30,18560793.75
2011-07-01,18561875.0
2011-07-02,18562931.25
2011-07-03,18563962.5
2011-07-04,18565025.0
2011-07-05,18565893.75
2011-07-06,18566875.0
2011-07-07,18567693.75
2011-07-08,18568725.0
2011-07-09,18569656.25
2011-07-10,18570512.5
2011-07-11,18571493.75
2011-07-12,18572375.0
2011-07-13,18573568.75
2011-07-14,18574468.75
2011-07-15,18575481.25
2011-07-16,18576462.5
2011-07-17,18577525.0
2011-07-18,18578587.5
2011-07-19,18579475.0
2011-07-20,18580406.25
2011-07-21,18581356.25
2011-07-22,18582300.0
2011-07-23,18583212.5
2011-07-24,18584250.0
2011-07-25,18585281.25
2011-07-26,18586381.25
2011-07-27,18587468.75
2011-07-28,18588437.5
2011-07-29,18589462.5
2011-07-30,18590412.5
2011-07-31,18591506.25
2011-08-01,18592537.5
2011-08-02,18593500.0
2011-08-03,18594481.25
2011-08-04,18595287.5
2011-08-05,18596162.5
2011-08-06,18596925.0
2011-08-07,18597712.5
2011-08-08,18598562.5
2011-08-09,18599475.0
2011-08-10,18600425.0
2011-08-11,18601281.25
2011-08-12,18602100.0
2011-08-13,18602912.5
2011-08-14,18603737.5
2011-08-15,18604543.75
2011-08-16,18605462.5
2011-08-17,18606312.5
2011-08-18,18607212.5
2011-08-19,18608031.25
2011-08-20,18608981.25
2011-08-21,18609981.25
2011-08-22,18611037.5
2011-08-23,18612006.25
2011-08-24,18612843.75
2011-08-25,18613687.5
2011-08-26,18614606.25
2011-08-27,18615368.75
2011-08-28,18616093.75
2011-08-29,18616956.25
2011-08-30,18617868.75
2011-08-31,18618837.5
2011-09-01,18619643.75
2011-09-02,18620618.75
2011-09-03,18621525.0
2011-09-04,18622362.5
2011-09-05,18623337.5
2011-09-06,18624281.25
2011-09-07,18625131.25
2011-09-08,18625937.5
2011-09-09,18626900.0
2011-09-10,18627731.25
2011-09-11,18628512.5
2011-09-12,18629343.75
2011-09-13,18630231.25
2011-09-14,18631143.75
2011-09-15,18632118.75
2011-09-16,18632862.5
2011-09-17,18633700.0
2011-09-18,18634687.5
2011-09-19,18635481.25
2011-09-20,18636356.25
2011-09-21,18637268.75
2011-09-22,18638193.75
2011-09-23,18639025.0
2011-09-24,18639831.25
2011-09-25,18640687.5
2011-09-26,18641525.0
2011-09-27,18642356.25
2011-09-28,18643275.0
2011-09-29,18644056.25
2011-09-30,18644818.75
2011-10-01,18645712.5
2011-10-02,18646468.75
2011-10-03,18647375.0
2011-10-04,18648075.0
2011-10-05,18648981.25
2011-10-06,18649781.25
2011-10-07,18650643.75
2011-10-08,18651387.5
2011-10-09,18652181.25
2011-10-10,18652950.0
2011-10-11,18653531.25
2011-10-12,18654281.25
2011-10-13,18654887.5
2011-10-14,18655756.25
2011-10-15,18656593.75
2011-10-16,18657337.5
2011-10-17,18658075.0
2011-10-18,18658825.0
2011-10-19,18659656.25
2011-10-20,18660375.0
2011-10-21,18661131.25
2011-10-22,18661743.75
2011-10-23,18662418.75
2011-10-24,18663212.5
2011-10-25,18664018.75
2011-10-26,18664750.0
2011-10-27,18665375.0
2011-10-28,18666031.25
2011-10-29,18666737.5
2011-10-30,18667431.25
2011-10-31,18668250.0
2011-11-01,18669187.5
2011-11-02,18670150.0
2011-11-03,18670931.25
2011-11-04,18671850.0
2011-11-05,18672762.5
2011-11-06,18673662.5
2011-11-07,18674487.5
2011-11-08,18675418.75
2011-11-09,18676425.0
2011-11-10,18677306.25
2011-11-11,18678050.0
2011-11-12,18678943.75
2011-11-13,18679843.75
2011-11-14,18680737.5
2011-11-15,18681768.75
2011-11-16,18682612.5
2011-11-17,18683481.25
2011-11-18,18684312.5
2011-11-19,18685081.25
2011-11-20,18685975.0
2011-11-21,18686712.5
2011-11-22,18687587.5
2011-11-23,18688425.0
2011-11-24,18689131.25
2011-11-25,18689975.0
2011-11-26,18690725.0
2011-11-27,18691437.5
2011-11-28,18692231.25
2011-11-29,18693093.75
2011-11-30,18694106.25
2011-12-01,18695243.75
2011-12-02,18696156.25
2011-12-03,18697106.25
2011-12-04,18697956.25
2011-12-05,18698943.75
2011-12-06,18700012.5
2011-12-07,18700875.0
2011-12-08,18701900.0
2011-12-09,18702818.75
2011-12-10,18703718.75
2011-12-11,18704668.75
2011-12-12,18705462.5
2011-12-13,18706287.5
2011-12-14,18707243.75
