time,FeeMeanNtv
2016-11-21,0.0003339857857806684
2016-11-22,0.00035313288103760456
2016-11-23,0.0004093972452587358
2016-11-24,0.0003995077847151375
2016-11-25,0.0004423931255524529
2016-11-26,0.00036398901240920344
2016-11-27,0.00034262961121000893
2016-11-28,0.0003665298632916286
2016-11-29,0.00034923970922083906
2016-11-30,0.00033924844655992055
2016-12-01,0.0004478351006817639
2016-12-02,0.0003724654847769975
2016-12-03,0.00034923476233614156
2016-12-04,0.0003790720399435052
2016-12-05,0.00038677184416071074
2016-12-06,0.0003678227543414057
2016-12-07,0.0003464251080738703
2016-12-08,0.00034176832098593894
2016-12-09,0.00036038743760436034
2016-12-10,0.00034514455138237235
2016-12-11,0.00033361164223345363
2016-12-12,0.00034563388593440925
2016-12-13,0.00033587154708710414
2016-12-14,0.00033348468369554917
2016-12-15,0.00035239236312610816
2016-12-16,0.0003529290400400441
2016-12-17,0.00033898113711520827
2016-12-18,0.00034260411218733016
2016-12-19,0.0003674613224730483
2016-12-20,0.00034397227531165385
2016-12-21,0.00035380148845252186
2016-12-22,0.00033678456417103635
2016-12-23,0.0003307768508531752
2016-12-24,0.00034545317742819194
2016-12-25,0.0003140586514493672
2016-12-26,0.00036269732293093415
2016-12-27,0.0003340281787027039
2016-12-28,0.0003411265143779841
2016-12-29,0.00035240977054298855
2016-12-30,0.0003496582772200118
2016-12-31,0.00032873792206109713
2017-01-01,0.0003814861389240281
2017-01-02,0.0003766513549304603
2017-01-03,0.00039545714240543265
2017-01-04,0.0005830104643918464
2017-01-05,0.0004023344683260566
2017-01-06,0.0003655808567642978
2017-01-07,0.0003780773102434404
2017-01-08,0.00035104584926027644
2017-01-09,0.0003811456460931825
2017-01-10,0.00036847574135619193
2017-01-11,0.00036880835558853804
2017-01-12,0.00035765423512761584
2017-01-13,0.0003549637213585386
2017-01-14,0.0003595781034364013
2017-01-15,0.0003480374703230872
2017-01-16,0.00038847040180210583
2017-01-17,0.0003736092543599037
2017-01-18,0.0003615475911200149
2017-01-19,0.00037752017403622483
2017-01-20,0.00034844652257453955
2017-01-21,0.00036005767612686023
2017-01-22,0.0003711486039666791
2017-01-23,0.0004778462656922467
2017-01-24,0.0005108761128109876
2017-01-25,0.0004367224529216091
2017-01-26,0.0003911980266618766
2017-01-27,0.0004426807687774652
2017-01-28,0.000492419878271592
2017-01-29,0.0004937955410254566
2017-01-30,0.0005461199187170358
2017-01-31,0.0004627628365675774
2017-02-01,0.00044783200815797056
2017-02-02,0.0005623853848539113
2017-02-03,0.000495112999904817
2017-02-04,0.0004835344055019269
2017-02-05,0.0004690450945715029
2017-02-06,0.0006882873814849475
2017-02-07,0.0005145726137280543
2017-02-08,0.0005068054869318941
2017-02-09,0.0005065909956781957
2017-02-10,0.00046478181830783257
2017-02-11,0.00044392851345241254
2017-02-12,0.0004319035421180877
2017-02-13,0.00047219051033660397
2017-02-14,0.0004492224432782203
2017-02-15,0.00047669985696832543
2017-02-16,0.0005719207263947275
2017-02-17,0.0005170716167199596
2017-02-18,0.0005415865655987789
2017-02-19,0.0005115059086776681
2017-02-20,0.0005689095462777827
2017-02-21,0.0006039440777403013
2017-02-22,0.0006501292667914249
2017-02-23,0.0006472384987904853
2017-02-24,0.0006501611521777885
2017-02-25,0.0005861256655436913
2017-02-26,0.0006098436386631366
2017-02-27,0.0006996413918069139
2017-02-28,0.0006847440594480387
2017-03-01,0.0007363961756668484
2017-03-02,0.0007626474364726721
2017-03-03,0.0007733879509774499
2017-03-04,0.0008259498197256424
2017-03-05,0.0007815321394700287
