time,FeeMeanUSD
2019-03-05,0.3951148270079731
2019-03-06,0.5370509952878494
2019-03-07,0.5129709273564513
2019-03-08,0.4684541863126079
2019-03-09,0.39860477459833765
2019-03-10,0.34965163793528686
2019-03-11,0.40338605754939505
2019-03-12,0.4303750428970473
2019-03-13,0.4888990189637905
2019-03-14,0.47605374245455695
2019-03-15,0.406578156084425
2019-03-16,0.3403368021893336
2019-03-17,0.29367772294706623
2019-03-18,0.30465831086307654
2019-03-19,0.2946921119840141
2019-03-20,0.3673230069419598
2019-03-21,0.46302351393369934
2019-03-22,0.3572941040841184
2019-03-23,0.2847751912065741
2019-03-24,0.2813179339840609
2019-03-25,0.34821728396918256
2019-03-26,0.4018916001196397
2019-03-27,0.502932854244875
2019-03-28,0.49530519156376085
2019-03-29,0.6941590588670435
2019-03-30,0.5937414092090254
2019-03-31,0.47654718091029635
2019-04-01,0.7095425229391148
2019-04-02,1.4165353466587318
2019-04-03,1.9771494552133395
2019-04-04,2.128887260277213
2019-04-05,1.4535445950969854
2019-04-06,1.1380498479156462
2019-04-07,1.2748557061093113
2019-04-08,1.866773403267043
2019-04-09,1.7253807751945525
2019-04-10,1.4814423150398994
2019-04-11,1.4512544790658597
2019-04-12,1.3510845913282041
2019-04-13,0.9142788340965667
2019-04-14,0.8968013858420129
2019-04-15,1.0354181120673884
2019-04-16,1.1173542908610083
2019-04-17,1.1261948935711206
2019-04-18,0.9958717274634952
2019-04-19,1.1543845432775548
2019-04-20,0.9857164874644332
2019-04-21,0.6695300077491927
2019-04-22,1.1204641121694907
2019-04-23,1.749588692411573
2019-04-24,1.7382909990678734
2019-04-25,1.263998763351305
2019-04-26,1.2144253464854406
2019-04-27,0.7804427485852774
2019-04-28,0.6419494742534066
2019-04-29,0.9903977701148565
2019-04-30,1.3241427777416248
2019-05-01,0.7783168393373038
2019-05-02,0.7712759277201572
2019-05-03,1.2135873898544014
2019-05-04,0.9708833780240924
2019-05-05,1.1085362826008163
2019-05-06,1.1751841477540461
2019-05-07,1.6112894984808546
2019-05-08,1.7102907186271892
2019-05-09,1.8237525692230365
2019-05-10,2.4468903001959834
2019-05-11,2.649463966862864
2019-05-12,2.115340826648523
2019-05-13,2.2395238465647664
2019-05-14,2.9046771897268804
2019-05-15,4.3733644187211675
2019-05-16,4.743960194853929
2019-05-17,4.596439725453076
2019-05-18,2.6847641475910677
2019-05-19,2.998431412664596
2019-05-20,3.913086996425395
2019-05-21,4.299101512047597
2019-05-22,3.38422118114278
2019-05-23,3.2894585335783306
2019-05-24,4.106448112822348
2019-05-25,3.0449627968325395
2019-05-26,2.2461465520180544
2019-05-27,4.190602357725389
2019-05-28,4.324917335282185
2019-05-29,3.998405141683843
2019-05-30,4.16872011776375
2019-05-31,5.9620391974628415
2019-06-01,4.010308354644935
2019-06-02,3.4011489984729057
2019-06-03,5.595541198888242
2019-06-04,4.459183312090612
2019-06-05,3.2773478753073984
2019-06-06,2.576734365304305
2019-06-07,2.448581553150586
2019-06-08,1.9366679140224003
2019-06-09,1.5909839411146038
2019-06-10,2.363966813067259
2019-06-11,2.5543700983232456
2019-06-12,2.7080544823799753
2019-06-13,2.440400099160639
2019-06-14,2.848553162456508
2019-06-15,2.0815116496630055
2019-06-16,2.2815278736758886
2019-06-17,3.4326612028733114
2019-06-18,2.6380899714457344
2019-06-19,2.4598384238184936
2019-06-20,3.245141234276366
2019-06-21,3.7971981744810774
2019-06-22,3.653946712208303
2019-06-23,2.28987221954451
2019-06-24,2.9017993759981504
2019-06-25,3.941479927236869
2019-06-26,6.018017312641052
2019-06-27,6.1471503541020995
2019-06-28,5.481045295760333
2019-06-29,3.6308288282376835
2019-06-30,3.4497224150000023
2019-07-01,4.038455201039422
2019-07-02,3.3497063447850706
2019-07-03,2.8294529559656594
2019-07-04,2.5319232937721856
2019-07-05,2.241472483107138
2019-07-06,1.5800949435245513
2019-07-07,1.6682803369671948
2019-07-08,2.1922981399103594
2019-07-09,2.4444058554347587
2019-07-10,3.3250275847409503
2019-07-11,2.77281941418016
2019-07-12,2.159205593919076
2019-07-13,1.6408627160483729
2019-07-14,1.3898959246058522
2019-07-15,1.997890322231509
2019-07-16,1.6656513946077023
2019-07-17,1.9127414562614105
2019-07-18,2.4577115454795866
2019-07-19,2.4559659035239436
2019-07-20,1.6860975195178374
2019-07-21,1.4146764467384412
2019-07-22,1.7259111162753151
2019-07-23,1.5986070097015206
2019-07-24,1.6601596994947299
2019-07-25,1.6561009494479382
2019-07-26,1.4149699488039884
2019-07-27,1.0938902718545924
2019-07-28,0.9204640468878954
2019-07-29,1.1373662759943082
2019-07-30,1.7946873785674406
2019-07-31,1.4803798944595794
2019-08-01,1.4323856755927078
2019-08-02,1.3426401367639076
2019-08-03,0.8904371282293551
2019-08-04,0.7250861920409114
2019-08-05,1.4784189208576883
2019-08-06,1.419836252591825
2019-08-07,2.3688500488024626
2019-08-08,2.4422765219954514
2019-08-09,2.2722454272907036
2019-08-10,1.4506487662828775
2019-08-11,1.2826174290026398
2019-08-12,1.9918702010776645
2019-08-13,2.174034856097027
2019-08-14,1.6097715882624868
2019-08-15,1.5663407030964287
2019-08-16,1.6506109901036974
2019-08-17,1.2305286749682987
2019-08-18,1.0886212953908163
2019-08-19,1.3806382718670687
2019-08-20,1.5217880008029654
2019-08-21,1.7176952555320908
2019-08-22,1.6786648768416952
2019-08-23,1.2575642883438398
2019-08-24,0.998151399960306
2019-08-25,0.7501219912786745
2019-08-26,1.091728529515764
2019-08-27,1.062238744683463
2019-08-28,0.9638085653778913
2019-08-29,0.9244462236817631
2019-08-30,0.9397328960395402
2019-08-31,0.6777435492301703
2019-09-01,0.6922654408821483
2019-09-02,0.9062701290269412
2019-09-03,1.1100663977864909
2019-09-04,1.2242941116461368
2019-09-05,1.0997641964868814
2019-09-06,1.056946945998243
2019-09-07,0.8975623733499097
2019-09-08,0.7820394180133409
2019-09-09,1.073142299662276
2019-09-10,1.1141479759509247
2019-09-11,1.0469955316965147
2019-09-12,0.9013740696201827
2019-09-13,0.9252163534552406
2019-09-14,0.7239100395270527
2019-09-15,0.6857002611276674
2019-09-16,0.8674789842297498
2019-09-17,1.0260721450345807
2019-09-18,0.9556039991822493
2019-09-19,1.0831616988943333
2019-09-20,0.9534848328377813
2019-09-21,0.6912628668656506
2019-09-22,0.6646977065888854
2019-09-23,1.0723647204829745
2019-09-24,0.9566269977292627
2019-09-25,1.0155966075802207
