time,CapFutExp10yrUSD
2019-06-23,220572711494.90417
2019-06-24,224862371158.33258
2019-06-25,239619715292.7309
2019-06-26,262861020356.82254
2019-06-27,227027903022.36237
2019-06-28,252542219551.2465
2019-06-29,244088236154.20212
2019-06-30,221576360671.19968
2019-07-01,215998450797.23825
2019-07-02,220017411316.77704
2019-07-03,244256716359.51993
2019-07-04,228421103223.03204
2019-07-05,224774127751.269
2019-07-06,229065466270.02252
2019-07-07,234135788205.60294
2019-07-08,251785757418.1699
2019-07-09,257092076624.07324
2019-07-10,247441134659.7663
2019-07-11,230845429781.4976
2019-07-12,241448757932.2864
2019-07-13,231916887516.94003
2019-07-14,210177103573.0972
2019-07-15,223328178945.48038
2019-07-16,193586419611.24197
2019-07-17,197752828816.12576
2019-07-18,218297032445.86908
2019-07-19,215280231484.06778
2019-07-20,222037611213.2096
2019-07-21,216461013465.79242
2019-07-22,210921155698.2576
2019-07-23,201685851404.07257
2019-07-24,200178164739.34644
2019-07-25,202314549906.30368
2019-07-26,201080587635.32416
2019-07-27,193109991880.81943
2019-07-28,194811679948.7677
2019-07-29,194290238814.00427
2019-07-30,196028975842.99658
2019-07-31,205637665142.13638
2019-08-01,212617278907.1734
2019-08-02,215265174148.53354
2019-08-03,221007179550.9941
2019-08-04,224609956687.91974
2019-08-05,241039781170.3447
2019-08-06,233549237333.97107
2019-08-07,244669411766.18716
2019-08-08,244078363135.73145
2019-08-09,242447656247.94675
2019-08-10,231111129686.35574
2019-08-11,235744083900.0478
2019-08-12,232771606189.1204
2019-08-13,222190569290.59717
2019-08-14,204963399006.24484
2019-08-15,210807619379.53833
2019-08-16,212102972572.0371
2019-08-17,208707416278.0784
2019-08-18,211248056322.5749
2019-08-19,222564759861.8481
2019-08-20,220251899815.9793
2019-08-21,206460694350.572
2019-08-22,206930863645.9478
2019-08-23,212953936283.09332
2019-08-24,207495549700.0064
2019-08-25,206542416706.299
2019-08-26,211908141302.3878
2019-08-27,207934506842.76746
2019-08-28,198869074966.8041
2019-08-29,193912711967.4748
2019-08-30,195865357685.4991
2019-08-31,196427072497.17078
2019-09-01,199658627316.12198
2019-09-02,212225974427.37567
2019-09-03,217166426128.02057
2019-09-04,216319123872.80777
2019-09-05,216382052564.4637
2019-09-06,211285295772.34454
2019-09-07,214634853476.50632
2019-09-08,212853462563.15518
2019-09-09,211325955988.9787
2019-09-10,206286997631.38727
2019-09-11,207439287625.80548
2019-09-12,212784472952.29532
2019-09-13,211600164165.46262
2019-09-14,211973174932.05304
2019-09-15,210803875889.82812
2019-09-16,209817593865.8571
2019-09-17,208547451148.78366
2019-09-18,207848777158.45795
2019-09-19,210041335000.44977
2019-09-20,208033659484.09412
2019-09-21,204278209653.01105
2019-09-22,205520577352.8941
2019-09-23,198275346962.48895
2019-09-24,176203937372.91724
2019-09-25,172329241589.81766
2019-09-26,165530369403.33182
2019-09-27,167477181333.83176
2019-09-28,167790153037.81268
2019-09-29,164979585480.1971
2019-09-30,169438083044.77878
2019-10-01,170098390798.85727
2019-10-02,171081881968.50958
2019-10-03,168870394159.51123
2019-10-04,167058557729.63632
2019-10-05,166568488348.0415
2019-10-06,160698137169.18365
2019-10-07,168298912503.60016
2019-10-08,167566325759.79932
2019-10-09,175920124562.33472
2019-10-10,175508158065.20853
2019-10-11,169612848576.538
2019-10-12,170308102828.55884
2019-10-13,169644986529.94003
2019-10-14,170774496850.57367
2019-10-15,166977756445.44183
2019-10-16,163770072573.77625
2019-10-17,165176301009.97995
2019-10-18,162862906081.77576
2019-10-19,162642562961.11932
2019-10-20,168071635152.77005
2019-10-21,168031635774.39038
2019-10-22,164300374981.93176
2019-10-23,152614580154.1901
