time,TxCntSec
2020-05-04,3.7501967592592593
2020-05-05,3.7921875
2020-05-06,3.873263888888889
2020-05-07,3.977824074074074
2020-05-08,3.758020833333333
2020-05-09,3.5893402777777776
2020-05-10,3.284664351851852
2020-05-11,3.6070949074074075
2020-05-12,3.961851851851852
2020-05-13,3.471712962962963
2020-05-14,3.1031944444444446
2020-05-15,3.6021296296296295
2020-05-16,3.4175925925925927
2020-05-17,2.7315625
2020-05-18,3.1908680555555557
2020-05-19,3.1593055555555556
2020-05-20,3.1967476851851853
2020-05-21,3.4983680555555554
2020-05-22,3.2284953703703705
2020-05-23,3.090763888888889
2020-05-24,2.5063078703703705
2020-05-25,3.094849537037037
2020-05-26,3.3189699074074075
2020-05-27,3.4720370370370373
2020-05-28,3.461388888888889
2020-05-29,3.272835648148148
2020-05-30,3.2883796296296297
2020-05-31,2.992233796296296
2020-06-01,3.4958796296296297
2020-06-02,3.575787037037037
2020-06-03,3.6013078703703703
2020-06-04,3.6547569444444443
2020-06-05,3.8355208333333333
2020-06-06,3.25568287037037
2020-06-07,2.9481944444444443
2020-06-08,3.6608449074074074
2020-06-09,3.797627314814815
2020-06-10,3.760497685185185
2020-06-11,3.8966666666666665
2020-06-12,3.5858449074074072
2020-06-13,3.277361111111111
2020-06-14,3.230289351851852
2020-06-15,3.388796296296296
2020-06-16,3.9702662037037038
2020-06-17,3.8307291666666665
2020-06-18,3.276689814814815
2020-06-19,3.9933912037037036
2020-06-20,3.2582175925925925
2020-06-21,2.9743055555555555
2020-06-22,3.562222222222222
2020-06-23,4.064722222222223
2020-06-24,3.6011921296296294
2020-06-25,3.652060185185185
2020-06-26,3.8009837962962965
2020-06-27,3.1505787037037036
2020-06-28,3.0780208333333334
2020-06-29,3.6399074074074074
2020-06-30,3.5454050925925924
2020-07-01,4.3759375
2020-07-02,3.9284606481481483
2020-07-03,3.7956944444444445
2020-07-04,3.3884375
2020-07-05,3.1610416666666667
2020-07-06,3.90375
2020-07-07,4.039606481481481
2020-07-08,4.01625
2020-07-09,4.168125
2020-07-10,3.9964583333333334
2020-07-11,3.594502314814815
2020-07-12,3.2456597222222223
2020-07-13,3.6027199074074074
2020-07-14,4.133796296296296
2020-07-15,3.685601851851852
2020-07-16,4.023969907407407
2020-07-17,3.362650462962963
2020-07-18,3.6262037037037036
2020-07-19,3.1785763888888887
2020-07-20,3.613275462962963
2020-07-21,3.6238425925925926
2020-07-22,4.199050925925926
2020-07-23,3.8947453703703703
2020-07-24,4.273356481481481
2020-07-25,3.363460648148148
2020-07-26,3.4874074074074075
2020-07-27,3.7676041666666666
2020-07-28,4.1022337962962965
2020-07-29,4.028043981481481
2020-07-30,3.8126967592592593
2020-07-31,4.1167592592592595
2020-08-01,3.3828009259259257
2020-08-02,3.323298611111111
2020-08-03,3.8740972222222223
2020-08-04,3.8362037037037036
2020-08-05,3.3750347222222223
2020-08-06,4.112094907407408
2020-08-07,3.789525462962963
2020-08-08,3.210636574074074
2020-08-09,3.1851736111111113
2020-08-10,3.5564814814814816
2020-08-11,4.033159722222222
2020-08-12,3.964398148148148
2020-08-13,3.8224189814814813
2020-08-14,4.217928240740741
2020-08-15,3.5804976851851853
2020-08-16,3.3926967592592594
2020-08-17,3.3544675925925924
2020-08-18,3.9944675925925925
2020-08-19,3.8965277777777776
