time,CapMrktCurUSD
2020-07-17,168802806794.04153
2020-07-18,169168582934.48605
2020-07-19,169967724887.16434
2020-07-20,169023500679.14856
2020-07-21,173112681691.1186
2020-07-22,175752143889.948
2020-07-23,177196924217.30652
2020-07-24,176080450187.27267
2020-07-25,178935530196.2443
2020-07-26,183213878780.3678
2020-07-27,203744198144.59204
2020-07-28,201874736728.9706
2020-07-29,205042054834.9217
2020-07-30,205413351537.44217
2020-07-31,209165345431.38367
2020-08-01,217650107985.90485
2020-08-02,204680087352.34372
2020-08-03,207312688746.43088
2020-08-04,206705783553.83923
2020-08-05,216287626623.5641
2020-08-06,217182425567.12643
2020-08-07,214050110955.4352
2020-08-08,216718673196.2909
2020-08-09,215576777624.0283
2020-08-10,219090872112.69235
2020-08-11,210284480461.03635
2020-08-12,213671208433.45825
2020-08-13,217335699187.2392
2020-08-14,217365712666.77783
2020-08-15,219084951477.17447
2020-08-16,219700556192.07544
2020-08-17,227392906120.48352
2020-08-18,221438441189.45932
2020-08-19,216724493356.56393
2020-08-20,219148207449.64777
2020-08-21,212828757688.5696
2020-08-22,215748935172.86255
2020-08-23,215452337487.74313
2020-08-24,217417299095.42203
2020-08-25,209799151719.14304
2020-08-26,211907514133.8888
2020-08-27,209009655884.56293
2020-08-28,212959896208.12213
2020-08-29,212284634016.18936
2020-08-30,216140533746.53055
2020-08-31,215770383728.23535
2020-09-01,221177235000.2752
2020-09-02,210917142600.07455
2020-09-03,189619829718.60855
2020-09-04,193517929900.99304
2020-09-05,187182381369.08313
2020-09-06,189495704608.09775
2020-09-07,191624618868.97644
2020-09-08,186842946951.56564
2020-09-09,188968383425.9782
2020-09-10,191039959916.7766
2020-09-11,192017369942.6865
2020-09-12,192951979972.30695
2020-09-13,190846477252.03787
2020-09-14,197147876035.17255
2020-09-15,199315386280.44415
2020-09-16,202819584769.55255
2020-09-17,202239512659.74203
2020-09-18,201951566927.16635
2020-09-19,204803721045.65717
2020-09-20,201991869981.6736
2020-09-21,193385500705.58487
2020-09-22,194586236941.46976
2020-09-23,189295175073.38928
2020-09-24,198659587209.19556
2020-09-25,197645812953.46777
2020-09-26,198736273241.69925
2020-09-27,199057194328.15533
2020-09-28,198483977030.0451
2020-09-29,200598525114.73715
2020-09-30,199336157853.55048
2020-10-01,196277557842.57623
2020-10-02,195610887017.89536
2020-10-03,195354357355.87143
2020-10-04,197399052168.17535
2020-10-05,199389146257.06775
2020-10-06,196135347147.17117
2020-10-07,197456284574.17596
2020-10-08,201823517432.12747
2020-10-09,205009453844.92093
2020-10-10,209254297811.47684
2020-10-11,210660289442.9037
2020-10-12,213821025341.3694
2020-10-13,211732652073.08148
2020-10-14,211412571561.06912
2020-10-15,213006147807.5566
2020-10-16,209987678424.63257
2020-10-17,210439860963.43692
2020-10-18,212797199544.3845
2020-10-19,217551213059.644
2020-10-20,220963353768.35657
2020-10-21,237996587309.02545
2020-10-22,240767851351.29196
2020-10-23,239962077749.97925
2020-10-24,242946632969.98505
2020-10-25,241618117679.51013
2020-10-26,242349930927.49588
2020-10-27,253379717438.13687
2020-10-28,246251140475.4076
2020-10-29,249685959749.5563
2020-10-30,252068603711.57968
2020-10-31,255857310085.0028
2020-11-01,254564701609.4508
2020-11-02,251953637578.66876
2020-11-03,259403733547.6545
2020-11-04,261868434425.51367
2020-11-05,289263271222.87427
2020-11-06,289509996782.305
2020-11-07,275573226966.525
2020-11-08,287332273623.7842
2020-11-09,284009875050.116
2020-11-10,284013859076.82196
2020-11-11,291666002991.4365
2020-11-12,302038563120.44165
2020-11-13,302799008120.85767
