time,CapRealUSD
2014-05-25,4195923838.632652
2014-05-26,4202217025.5022736
2014-05-27,4239229304.5538807
2014-05-28,4245810802.935671
2014-05-29,4249266171.250409
2014-05-30,4279067271.6616845
2014-05-31,4288782749.104036
2014-06-01,4297455697.192783
2014-06-02,4315357582.513715
2014-06-03,4327531301.941902
2014-06-04,4334276387.215373
2014-06-05,4343544693.30186
2014-06-06,4346713717.958543
2014-06-07,4352200574.879182
2014-06-08,4358275023.454161
2014-06-09,4368322532.880585
2014-06-10,4378673675.94697
2014-06-11,4383932820.056318
2014-06-12,4446388685.994213
2014-06-13,4451618974.479278
2014-06-14,4451936775.097612
2014-06-15,4455246840.737207
2014-06-16,4459784564.081612
2014-06-17,4464118734.575909
2014-06-18,4467645173.720718
2014-06-19,4469879956.7597885
2014-06-20,4473115107.845301
2014-06-21,4476399041.251484
2014-06-22,4480477258.256153
2014-06-23,4485398488.069819
2014-06-24,4489845057.913315
2014-06-25,4490376739.042735
2014-06-26,4497519427.685375
2014-06-27,4503561477.453892
2014-06-28,4506852648.1910305
2014-06-29,4517671136.973121
2014-06-30,4528882605.80407
2014-07-01,4538048430.508092
2014-07-02,4553457456.030987
2014-07-03,4562563581.992643
2014-07-04,4566483677.659479
2014-07-05,4570420472.998671
2014-07-06,4574162974.823272
2014-07-07,4578197852.400373
2014-07-08,4581118691.359244
2014-07-09,4590351742.500326
2014-07-10,4594489136.901011
2014-07-11,4599350528.524028
2014-07-12,4603368085.429817
2014-07-13,4606874147.706512
2014-07-14,4609171881.104547
2014-07-15,4613214135.302344
2014-07-16,4615779926.37547
2014-07-17,4621012183.366553
2014-07-18,4625885193.864273
2014-07-19,4627970451.699603
2014-07-20,4631668269.59113
2014-07-21,4638545676.425241
2014-07-22,4641811907.561696
2014-07-23,4648167558.74443
2014-07-24,4650591392.404253
2014-07-25,4653459618.704339
2014-07-26,4655163979.672194
2014-07-27,4657703202.265255
2014-07-28,4659016602.858027
2014-07-29,4659325249.473046
2014-07-30,4658236935.990715
2014-07-31,4663003091.451874
2014-08-01,4670435825.107534
2014-08-02,4673647143.99003
2014-08-03,4675442348.190577
2014-08-04,4681832103.295636
2014-08-05,4710671238.894257
2014-08-06,4713455923.947796
2014-08-07,4717208644.641878
2014-08-08,4720342282.433822
2014-08-09,4724457519.411795
2014-08-10,4728091472.963943
2014-08-11,4729662490.867151
2014-08-12,4731494551.02719
2014-08-13,4731736665.555579
2014-08-14,4723469993.770332
2014-08-15,4722442848.473793
2014-08-16,4725151423.546512
2014-08-17,4726711023.839097
2014-08-18,4716063621.21311
2014-08-19,4716753752.207073
2014-08-20,4720704898.850424
2014-08-21,4721179619.614843
2014-08-22,4722823397.435358
2014-08-23,4720665789.275475
2014-08-24,4722432728.865943
2014-08-25,4723101721.241035
2014-08-26,4725967520.312545
2014-08-27,4726972019.670849
2014-08-28,4707456172.08521
2014-08-29,4706712623.679384
2014-08-30,4708044662.342693
2014-08-31,4709067100.889787
2014-09-01,4710831945.704853
2014-09-02,4708484287.804112
2014-09-03,4709184487.618518
2014-09-04,4712311573.377918
2014-09-05,4714655776.857325
2014-09-06,4717329380.107049
2014-09-07,4715546841.065314
2014-09-08,4714911003.0516
2014-09-09,4712523075.658449
2014-09-10,4711751018.369125
2014-09-11,4712371745.30421
2014-09-12,4710677830.771904
2014-09-13,4712566150.770775
2014-09-14,4714246495.227624
2014-09-15,4713893543.672051
2014-09-16,4713607326.919096
2014-09-17,4714266594.226615
2014-09-18,4706378799.241325
2014-09-19,4694356090.571694
2014-09-20,4685685492.208194
2014-09-21,4684307848.147671
2014-09-22,4682578599.791424
2014-09-23,4684171390.444204
2014-09-24,4682769166.358173
2014-09-25,4681084021.236582
2014-09-26,4675215999.144027
2014-09-27,4673683451.957908
2014-09-28,4672092144.303302
2014-09-29,4660468819.512404
2014-09-30,4658356861.830882
2014-10-01,4654416646.555315
2014-10-02,4650856445.418588
2014-10-03,4635864194.353908
2014-10-04,4627190172.2509775
2014-10-05,4625775998.275087
2014-10-06,4589875773.59818
2014-10-07,4586366300.713999
2014-10-08,4588876536.151261
2014-10-09,4584069531.968837
2014-10-10,4580807838.98241
2014-10-11,4579008381.236736
2014-10-12,4578737284.570607
2014-10-13,4587429046.946059
2014-10-14,4590251225.603252
2014-10-15,4581669888.079623
2014-10-16,4582292209.408131
2014-10-17,4578604384.228413
2014-10-18,4580965124.308159
2014-10-19,4582011834.858848
2014-10-20,4581406685.580015
2014-10-21,4581845093.916544
2014-10-22,4580855542.01447
2014-10-23,4576314235.879537
2014-10-24,4571370275.885212
2014-10-25,4568823573.836585
2014-10-26,4568305036.338505
2014-10-27,4565054926.283809
2014-10-28,4564657226.796118
